id,lat,lng,artdtsch,gattungdeutsch,strname,hausnr,standortnr,pflanzjahr,standalter,bezirk,zeit,wassermenge,wassersumme
_6t4ulos5h,13.286779999999998,52.539640000000006,Spitz-Ahorn,AHORN,Halemweg,41,01801,1990.0,29,Charlottenburg-Wilmersdorf,2020-05-20 14:48:16.563548+00,25,25
_6t6hyvaj3,13.313620000000002,52.4609,Gemeine Rosskastanie,ROSSKASTANIE,Gritznerstraße,69,1701,1945.0,74,Steglitz-Zehlendorf,2020-05-20 06:49:25.642002+00,10,10
_6t7lics4t,13.30689,52.5118,Winter-Linde,LINDE,Bismarckstraße,39,00583,1985.0,34,Charlottenburg-Wilmersdorf,2020-09-20 07:23:16.082125+00,50,50
_6td6uel7d,13.409479999999999,52.58944,Eiche,EICHE,Körnerstraße,undefined,41629,2003.0,16,Pankow,2020-05-21 06:44:08.800087+00,5,5
_6tnhq2zfl,13.35856,52.53451999999999,Spitz-Ahorn,AHORN,Lehrter Straße,53,222520,1975.0,44,Mitte,2020-06-28 10:33:53.438389+00,25,175
_6tum7xvli,13.433589999999999,52.534780000000005,Feld-Ahorn,AHORN,Dietrich-Bonhoeffer-Straße,undefined,43605,2009.0,10,Pankow,2020-06-05 19:08:02.461939+00,10,35
_6u58kkpzx,13.47055,52.517219999999995,Krim-Linde,LINDE,undefined,undefined,60114,1964.0,55,Friedrichshain-Kreuzberg,2020-05-22 05:25:39.500526+00,10,160
_6ujr8278o,13.406920000000001,52.54902,Rot-Ahorn,AHORN,Kopenhagener Straße,undefined,41614,2013.0,6,Pankow,2020-05-20 09:56:54.421142+00,25,155
_6ullrpusb,13.30279,52.51595,Winter-Linde 'Greenspire',LINDE,Gierkezeile,34,01552,2009.0,10,Charlottenburg-Wilmersdorf,2020-09-16 17:27:06.807232+00,50,50
_6umgdkfx1,13.34454,52.46516999999999,Winter-Linde,LINDE,Rubensstraße,107,17730,1975.0,44,Tempelhof-Schöneberg,2020-06-04 20:45:20.328595+00,10,70
_6uvcdxji0,13.368820000000001,52.49175,Eingriffliger Weissdorn,WEIßDORN,Katzlerstraße,7,17696,2003.0,16,Tempelhof-Schöneberg,2020-08-20 23:48:17.652101+00,50,75
_6vflsuauq,13.43919,52.46656,Linde,LINDE,Reinholdstraße,11,,1980.0,39,Neukölln,2020-08-13 22:52:36.502081+00,50,75
_6vsxhx24x,13.43299,52.532669999999996,Hainbuche,HAINBUCHE,Liselotte-Herrmann-Straße,undefined,40049,1983.0,36,Pankow,2020-08-17 17:35:34.282891+00,25,100
_6vyhxaet2,13.42116,52.49239,Linde,LINDE,Schönleinstraße,undefined,04007,1964.0,55,Friedrichshain-Kreuzberg,2020-06-14 19:54:30.862255+00,25,50
_6vyzdkalq,13.310139999999999,52.50209,Winter-Linde,LINDE,Sybelstraße,7,04392,1977.0,42,Charlottenburg-Wilmersdorf,2020-08-07 19:43:27.56405+00,25,75
_6w98zqryc,13.291979999999999,52.42943,Winter-Linde,LINDE,Altdorfer Straße,62-54,000075,1945.0,74,Steglitz-Zehlendorf,2020-08-16 20:11:39.483578+00,10,30
_6wkygwh3x,13.465110000000001,52.50509,Baum-Hasel,HASEL,Simplonstraße,undefined,SIMPLONS,1998.0,21,Friedrichshain-Kreuzberg,2020-05-20 23:33:52.127674+00,50,900
_6x260sqen,13.337229999999998,52.49888000000001,Ahornblättrige Platane,PLATANE,Kelheimer Straße,2,02369,1906.0,113,Charlottenburg-Wilmersdorf,2020-08-13 06:18:46.355607+00,50,100
_6x5rlwxo0,13.34586,52.46485,Trauben-Kirsche 'Tiefurt',undefined,Peter-Vischer-Straße,undefined,17718,2006.0,13,Tempelhof-Schöneberg,2020-06-27 17:35:01.071547+00,50,100
_6x6dq0ekq,13.46442,52.51834,"Berg-Ahorn, Weiss-Ahorn",AHORN,undefined,undefined,60114,1978.0,41,Friedrichshain-Kreuzberg,2020-07-24 05:07:01.645964+00,50,300
_6xalaiort,13.4315,52.50068,Linde,LINDE,Lausitzer Platz,undefined,07050,1965.0,54,Friedrichshain-Kreuzberg,2020-07-12 14:46:44.025798+00,50,50
_6xenbx16l,13.41506,52.544219999999996,"Süss-Kirsche,Vogel-Kirsche",undefined,Gneiststraße,undefined,41029,1988.0,31,Pankow,2020-08-07 13:25:53.721626+00,50,50
_6xnqj8q0n,13.36687,52.50035,Spitz-Ahorn,AHORN,Pohlstraße,37,219620,2010.0,9,Mitte,2020-06-03 17:30:06.578274+00,25,25
_6xnwh4nkx,13.4674,52.51691999999999,Chinesische Wild-Birne,BIRNE,Schreinerstraße,undefined,SCHREIN,1999.0,20,Friedrichshain-Kreuzberg,2020-05-26 17:04:53.879614+00,10,10
_6xr1s2lpn,13.330020000000001,52.467969999999994,Kaiser-Linde,LINDE,Roennebergstraße,4,17729,1995.0,24,Tempelhof-Schöneberg,2020-05-30 19:57:51.795315+00,25,25
